        Type         |        Subtype        |   Base   |   Size   |  CRC32   |   Name 
 Section             | UI                    |   N/A    | 0000000C | 19DF0B7E | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000BFE | 3107C90C | ------- 53BCC14F-C24F-434C-B294-8ED2D4CC1860 | DataHubDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000BA4 | 10DEA279 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001A | 0BA0E5B2 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000A642 | 9DF7CD07 | ------- 9B680FCE-AD6B-4F3A-B60B-F59899003443 | DevicePathDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 0000A5E4 | B2A643AA | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | 7EE438D8 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000C86 | 083AB220 | ------- CD3BAFB6-50FB-4FE8-8E4E-AB74D2C1A600 | EnglishDxe
 Section             | PE32 image            |   N/A    | 00000C44 | 6E784D91 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001A | 050C9EF7 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00003816 | 7A6A0B53 | ------- 13AC6DD0-73D0-11D4-B06B-00AA00BD6DE7 | EbcDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000037C4 | 9E0E649B | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 467449E0 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000184BE | 1C5635C6 | ------- 348C4D62-BFBD-4882-9ECE-C80BB1C4783B | HiiDatabase
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00018464 | FE32DB03 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001C | 7780C467 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00009B26 | D831174C | ------- F80697E9-7FD6-4665-8646-88E33EF71DFC | SecurityStubDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00009AC4 | D5767CF1 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000024 | 80A6C5D3 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000007A2 | 079E8525 | ------- C10194E7-DEB2-4AF4-9EEE-BFFDE4D7D4C7 | TimestampDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000744 | 94FE8673 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001E | D44F4EDD | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00001612 | 6593B46B | ------- 6CE6B0DE-781C-4F6C-B42D-98346C614BEC | HpetTimerDxe
 Section             | DXE dependency        |   N/A    | 00000028 | 1E31DEFB | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000015A4 | C16BFC32 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001E | 6A08C77D | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00003EAE | D8AAE27A | ------- 128FB770-5E79-4176-9E51-9BB268A17DD1 | PciHostBridgeDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 681E44D5 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00003E24 | D2F771C5 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000026 | F23C2959 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00001DE6 | D158F1D8 | ------- B03ABACF-A532-5E78-ACA0-B11F765B3AFD | CpuDxe
 Section             | DXE dependency        |   N/A    | 00000028 | 80F1E4F9 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001D84 | 298DB198 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 7425809A | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000E6E | 5EF30549 | ------- 10B12ADD-F5E2-CC78-5CA0-B77F76223ACD | AmiCpuFeaturesDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000DE4 | 1E0ABB4B | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000028 | 20B32DCC | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000091E | 866F5106 | ------- 5BD4977A-580F-4F1A-B3C2-5198E6DCBEEA | AmiCspGlobalNvsDxe
 Section             | DXE dependency        |   N/A    | 00000028 | E91AF10E | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000008A4 | 94322879 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | B046DEE0 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000017C6 | 8F7DB3E1 | ------- E4ECD0B2-E277-4F2B-BECB-E4D75C9A812E | NbDxe
 Section             | DXE dependency        |   N/A    | 0000004C | C0BF1DE8 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001744 | 1F644CBA | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000010 | E9AA942B | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000A46 | 4F4BE157 | ------- FAEA0786-FF3E-4091-A895-98E4E9114892 | LegacyRegionDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000009E4 | 7F5671AA | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000024 | B321ACFE | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000115A | C16B09DB | ------- 24CCD374-3DF6-4181-86F6-E3C66920A145 | UpdateMemoryRecord
 Section             | DXE dependency        |   N/A    | 00000082 | 5DEE1F1C | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001084 | C1A5B524 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | FE400FDC | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00003CE6 | 2CC6B523 | ------- B7D19491-E55A-470D-8508-85A5DFA41974 | SbDxe
 Section             | DXE dependency        |   N/A    | 0000004C | 738356A8 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00003C64 | C401E50B | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000010 | 7B1D7839 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000063E | FC9664CD | ------- 71ED12D1-250B-42FB-8C17-10DCFA771701 | AmiLegacyInterrupt
 Section             | DXE dependency        |   N/A    | 00000028 | 79E02601 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000005C4 | 5E5E19E2 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | EDEBE652 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000E5E | 3E2A3790 | ------- EA067D5D-56FD-4B00-B79A-352AFF8F2BD6 | UpdateSmbiosType41
 Section             | DXE dependency        |   N/A    | 00000028 | CA174F61 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000DE4 | 57AA1551 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | 14B1EF54 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000806 | 68FA26F0 | ------- C2D52AC9-7C0E-47F3-8738-865B3F3BCF99 | AmiPciPlatform
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000007A4 | E08F9EA7 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000022 | 876910EE | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000FE6 | DE60F0AB | ------- 440D38B7-E016-49EA-9769-317EF908835D | I2cHcOperation
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000F84 | 3C830B30 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000022 | F5DFB806 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000010C6 | B804AA0B | ------- D0927E0C-FEA5-4569-8AC0-33C8F60E5073 | NvmeRstPassword
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001064 | 13ED4E9A | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000024 | 8D34C043 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000D46 | 0F828831 | ------- 7612F7CE-C685-465A-91D4-D12F9E933383 | SpiHcOperation
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000CE4 | DF0A09BC | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000022 | EBF387BC | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000732 | F33971DC | ------- 231CDC65-129E-4870-A882-79244127BDE3 | SkipStoragePwdPrompt
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000006C4 | DA169F4D | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002E | 24C3DDFA | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000069E | EE40A8F0 | ------- 87D402CD-8B07-4B93-B38B-F8799F28B033 | AmiTxtDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000624 | AF3B7228 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000018 | CDB8D13C | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000161E | 61F25119 | ------- FCCCE259-07E1-417A-A755-E0F2CF39295E | CpuInitDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000015C4 | 9F049945 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001A | 76A27BFE | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00001FCA | 9828F41A | ------- F7731B4C-58A2-4DF4-8980-5645D39ECE58 | PowerMgmtDxe
 Section             | DXE dependency        |   N/A    | 0000005E | D45FEFE2 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001F24 | 30416FA2 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001E | 421A3982 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000180A | 5F234E34 | ------- FF917E22-A228-448D-BDAA-68EFCCDDA5D3 | TxtDxe
 Section             | DXE dependency        |   N/A    | 0000004C | FFDD2D99 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001784 | A26A385A | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 9E940BF6 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000A3E | C92DDD4E | ------- 6DB9486F-6AF6-4090-984D-238482CE3EA4 | BdatAccessHandler
 Section             | DXE dependency        |   N/A    | 0000004C | 6088D6BB | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000009A4 | 66D7DDA4 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000028 | 32CEADE6 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000A32 | AA57B2E8 | ------- BF90FDDC-F163-4FC6-A5A3-D0FDC8F7CE68 | AmiUpdateCspResources
 Section             | DXE dependency        |   N/A    | 00000016 | BD84CB0A | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000009C4 | 53C277A5 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000030 | D19376C1 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00003A06 | A81DD670 | ------- 4BD0EB2F-3A2D-442E-822D-753516F75424 | PchInitDxeTgl
 Section             | DXE dependency        |   N/A    | 0000003A | F1877DB1 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00003984 | CBE15FD3 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | EAD015EB | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00002B6A | 3D002A49 | ------- FB142B99-DF57-46CB-BC69-0BF858A734F9 | SerialOverLan
 Section             | PE32 image            |   N/A    | 00002B24 | 6C00EFDB | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | D6C75A38 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000A5A | 32BA54E0 | ------- 33C6406D-2F6B-41B5-8705-52BAFB633C09 | AsfDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 7E9CDA7A | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000009E4 | D34FDB65 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 2E4CAC2C | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00004C02 | AAC5F7C8 | ------- 55E76644-78A5-4A82-A900-7126A5798892 | HeciInit
 Section             | DXE dependency        |   N/A    | 0000005E | A7E79416 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00004B64 | A156E080 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000016 | 990C92BD | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00001C62 | 922D6F29 | ------- C464322E-3DC4-49AD-B9FD-AF1B56B2249B | HwAssetDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 5D21249C | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001BE4 | 1C155E30 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001A | BE799B7A | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000083BA | A7B71C24 | ------- 6FD18837-36E6-46EC-8F61-6730E3E23D50 | JhiDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 14425611 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00008344 | A1D2628A | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | EDF585BE | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000010A6 | 19A253F9 | ------- 5820EEB4-C135-4854-9D2A-AA9EFC4475E9 | MeFwDowngrade
 Section             | DXE dependency        |   N/A    | 0000003A | 6E1F8EB9 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001024 | 21EAE29A | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | 4AE11EBD | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000692 | 5E6C06F3 | ------- E764500B-E398-4AB7-BBBC-99A8E683681F | MeSmbiosDxe
 Section             | DXE dependency        |   N/A    | 0000004C | C076ED61 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000604 | EE3423F2 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001C | 70A72C2E | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00001C92 | 373ACAD4 | ------- 4E8EEBDC-CF55-4FB6-AA77-984AB53DE823 | EmmcSoftwareTuning
 Section             | DXE dependency        |   N/A    | 0000003A | 2FF49F46 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001C04 | 3B8A68CE | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | DF3F9391 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000185A | 403209AE | ------- E052D8A6-224A-4C32-8D37-2E0AE162364D | SmbusDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001804 | 81F421D3 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000016 | 9A3EEE24 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000F06 | D7A91EF5 | ------- 3C4836AE-B24B-40E3-B24B-9448ED095BFE | SpiDxe
 Section             | DXE dependency        |   N/A    | 00000028 | B60F946D | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000EA4 | 30E0F8D3 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 2F05DD90 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000015AA | D31CCA71 | ------- F80E66A2-1A2C-415B-9B9C-066C1F04B626 | ITbtDxe
 Section             | DXE dependency        |   N/A    | 0000004C | 51B04235 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001524 | 0C09CFD4 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000014 | F236815D | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000786 | 83DF95E4 | ------- B76373AA-0259-416C-8170-DE9A0B6F955E | BzmDxe
 Section             | DXE dependency        |   N/A    | 00000028 | 4B9867D2 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000724 | F86C0F69 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 37644891 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000A16 | 902358AE | ------- 5AAB83E5-F027-4CA7-BFD0-16358CC9E453 | WdtDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000009C4 | E69795DF | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | EBE78E50 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000112DE | 2AB32A28 | ------- ACD28235-075B-48B5-98A1-DA04FCAF84F3 | SiInitDxe
 Section             | DXE dependency        |   N/A    | 0000003A | 69D49765 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00011264 | 49C7E36A | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000018 | 157B9F52 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00005406 | 01FDBF5D | ------- CA84408A-0929-4F11-BFED-18C7D9576C6B | PlatformInitDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000053A4 | 2149E945 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000024 | E9DEF276 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000061A | 7F65EAA5 | ------- 65986603-43BC-4ABF-94D8-5A58847381A6 | SiliconPolicyDxe
 Section             | DXE dependency        |   N/A    | 00000028 | 57744D80 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000005A4 | 46F0D994 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000026 | 3F8CA8A6 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000011CA | CD955753 | ------- C034A2CB-1190-4638-9DDF-6F297824741E | TestPointStubDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00001164 | 47757C48 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000026 | AED97193 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000008FA | 9ECFE74F | ------- 1323C7F8-DAD5-4126-A54B-7A05FBF41515 | SmmAccess
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000008A4 | E3CE6A54 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000018 | 43015B38 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00003EAE | 35EAE02B | ------- 987555D6-595D-4CFA-B895-59B89368BD4D | IntelVTdDxe
 Section             | DXE dependency        |   N/A    | 00000028 | 79E02601 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00003E44 | F18D9E17 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001C | 087A6FD7 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000006A6 | 7EF4A44E | ------- 3F7753EF-D36F-45CC-8A1A-2EAAFF1038B7 | BootMediaInfo
 Section             | DXE dependency        |   N/A    | 0000003A | 1839A0BC | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000624 | 1C4D49BD | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | 53C2EE4D | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0010E60A | 4888CAFA | ------- 0EAB05C1-766A-4805-A039-3081DE0210C7 | FmpDxe
 Section             | DXE dependency        |   N/A    | 0000004C | F9D2FA37 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 0010E584 | 19E22915 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000012 | 8418C9A1 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000FFE | F34E6FDF | ------- 1F28B56E-D26A-48FD-9FAC-9E18A2C5BBDB | CnvUefiVariables
 Section             | DXE dependency        |   N/A    | 0000004C | A8FD4060 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000F64 | DAF4ADB3 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000026 | 3534500B | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000B32 | 5BAD8F9C | ------- 121D5264-990F-4716-8061-C2144A7D4D0D | DxeDg1OpregionInit
 Section             | DXE dependency        |   N/A    | 0000003A | 0C834DC2 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000AA4 | 2F4DC832 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | 2067C032 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000B32 | 9E88C0B8 | ------- 086147FA-4C0D-4781-AD27-0A3725F03F2B | DxeDg2OpregionInit
 Section             | DXE dependency        |   N/A    | 0000003A | 0C834DC2 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000AA4 | C8DE6FC1 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002A | 22B9C715 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 0000077E | C6B17689 | ------- B8FE3D49-DCF3-4CBB-8070-47B4F5A34559 | GopDebugDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000724 | 65017E57 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001C | 86396994 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00008A96 | 70530303 | ------- 60740CF3-D428-4500-80E6-04A5798241ED | HstiIhvDxe
 Section             | DXE dependency        |   N/A    | 00000070 | 7CBF2F1B | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 000089E4 | A8680AE2 | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000001A | 96A43EA2 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000E2A | E218FAEC | ------- C642C14C-0E9C-4AEF-94A5-A213BAA35DE0 | HstiResultDxe
 Section             | DXE dependency        |   N/A    | 0000005E | D45E2DCC | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000D84 | E26CBD6C | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000020 | D0192876 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000E66 | 3EC31D37 | ------- 591F64F9-1CB8-4029-8868-F5A2C0CF3600 | I2cPlatformDxe
 Section             | DXE dependency        |   N/A    | 00000016 | 1C339288 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000E04 | 15E3C8FC | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000022 | 7F9380E1 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 000022DE | 7646DADF | ------- D38FC876-0B17-4D95-A7F8-A022ECA1CA42 | MeExtMeasurement
 Section             | DXE dependency        |   N/A    | 0000004C | 0C780D0D | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00002244 | 224B6D62 | -------- PE32 image section
 Section             | UI                    |   N/A    | 00000026 | F0F623E8 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
 File                | DXE driver            |   N/A    | 00000D9A | 5F9B319A | ------- 83EC90A9-D791-4613-9C57-68C3DE923C3B | MeSmbiosUpdateConfig
 Section             | DXE dependency        |   N/A    | 0000005E | A3062175 | -------- DXE dependency section
 Section             | PE32 image            |   N/A    | 00000CE4 | 10F712BF | -------- PE32 image section
 Section             | UI                    |   N/A    | 0000002E | CBC70AA5 | -------- UI section
 Section             | Version               |   N/A    | 0000000E | 80E5540A | -------- Version section
